X,Y,osm_id,power,operator,location:transition
-8.6945206,41.3039499,6997382178,tower,,
-8.6921066,41.3040178,6997382179,tower,,
-8.6953915,41.3061818,6997382167,tower,,
-8.6864611,41.2987924,3566907257,tower,,
-8.685543,41.3010427,3566907357,tower,,
-8.6871981,41.3042058,6997382180,tower,,
-8.6870867,41.3041413,3566907716,tower,,
-8.6866455,41.3061093,6997382166,tower,,
-8.6839331,41.3049185,3566907748,tower,,
-8.684254,41.3060951,3566908009,tower,,
-8.684134,41.30603,3566908002,tower,,
-8.683029,41.3071363,3566908051,tower,,
-8.6830906,41.3085781,3566908134,tower,,
-8.681308,41.3060882,3566908008,tower,,
-8.6615461,41.2867856,3566906122,tower,,
-8.6590785,41.28702,3566906133,tower,,
-8.6606998,41.2897172,3566906361,tower,,
-8.6650725,41.2958681,3566907129,tower,,
-8.6623837,41.2926081,3566906841,tower,,
-8.6576935,41.2934457,1984017739,tower,,
-8.6576785,41.2936744,4974200366,tower,,
-8.6604392,41.2958654,4974200368,tower,,
-8.6602172,41.2958972,4974200367,tower,,
-8.6689543,41.3005522,3566907334,tower,,
-8.6705032,41.3026206,3566907445,tower,,
-8.6761869,41.3059774,3566907998,tower,,
-8.674681,41.3059274,3566907994,tower,,
-8.6738297,41.3075319,1984017747,tower,,
-8.6738504,41.3077812,3566908092,tower,,
-8.6737519,41.3078521,3566908102,tower,,
-8.6719167,41.3044644,3566907727,tower,,
-8.6716725,41.3056573,4974200357,tower,,
-8.6714813,41.3057145,3566907782,tower,,
-8.6693515,41.3036403,4974200358,tower,,
-8.6690825,41.3036363,3566907693,tower,,
-8.6726804,41.3058695,3566907791,tower,,
-8.6672425,41.2983841,3566907235,tower,,
-8.6627736,41.2979124,1984017729,tower,,
-8.6628136,41.2981642,4974200365,tower,,
-8.6649115,41.2997679,4974200359,tower,,
-8.6646985,41.2998193,3566907306,tower,,
-8.6668332,41.3014357,1984017758,tower,,
-8.6666322,41.3015029,4974200360,tower,,
-8.6582991,41.2998516,4024440045,tower,,
-8.6598929,41.3017123,4024440046,tower,,
-8.6635447,41.3058381,4024440048,tower,,
-8.6652165,41.3077829,4024440049,tower,,
-8.6619102,41.303999,4024440047,tower,,
-8.6501321,41.2692713,6994466112,tower,,
-8.6481741,41.2700636,6994466125,tower,,
-8.6492926,41.2716884,6994466124,tower,,
-8.6487749,41.271132,6994466119,tower,,
-8.6505505,41.2734604,6994466118,tower,,
-8.6503065,41.2734564,6994466123,tower,,
-8.6501911,41.2735914,6994466120,tower,,
-8.6516985,41.2753855,6994466117,tower,,
-8.6367561,41.2735238,4974200381,tower,,
-8.652813,41.2778004,6994466108,tower,,
-8.6521009,41.2782398,6994466110,tower,,
-8.6537316,41.2788143,6994466116,tower,,
-8.6532408,41.2809912,6994466115,tower,,
-8.6525649,41.2801366,6994466114,tower,,
-8.6518085,41.2804742,6994466109,tower,,
-8.6516007,41.2757131,6994466122,tower,,
-8.6513767,41.2756456,6994466121,tower,,
-8.6514625,41.2766716,6994466111,tower,,
-8.6528157,41.2827277,6994466092,pole,,
-8.6522833,41.2828053,6994466113,pole,,
-8.6517589,41.2825896,6994466099,pole,,
-8.6564175,41.2859998,3566906095,tower,,
-8.6557412,41.2853871,3566905865,tower,,
-8.6524799,41.2841981,6997335402,pole,,yes
-8.6526148,41.284235,6997335401,pole,,yes
-8.653,41.2847176,3566905848,pole,,
-8.6529486,41.2848592,3566905850,pole,,
-8.6519721,41.2848158,6994466107,tower,,yes
-8.6519265,41.2847765,6994466102,tower,,yes
-8.6520284,41.2848561,6994466106,tower,,yes
-8.6522765,41.2850305,6994466103,tower,,
-8.6522108,41.2849901,6994466104,tower,,
-8.6521532,41.2849468,6994466105,tower,,yes
-8.6514317,41.285356,6994466098,tower,,
-8.6516223,41.2854784,4024440037,tower,,
-8.6513565,41.2852965,6994466097,tower,,
-8.6504195,41.2862876,4024440038,tower,,
-8.6504506,41.2864445,6996835531,pole,,
-8.6493852,41.2862088,4974200372,tower,EDP,
-8.6471104,41.2842539,1984017741,tower,,
-8.646943,41.2842948,4974200373,tower,,
-8.6486579,41.2864079,6997335391,tower,,
-8.6469007,41.2865079,4024440039,tower,,
-8.6414555,41.2783667,4974200377,tower,,
-8.6429736,41.2799311,1984017724,tower,,
-8.6395862,41.2764403,4974200376,tower,,
-8.644636,41.2816426,4974200375,tower,,
