X,Y,osm_id,building,power,amenity,brand,name,layer,shop,tourism,tower:type,access,addr:housenumber,leisure,office,substation,cuisine,brand:wikipedia,brand:wikidata,takeaway,smoking,wheelchair,old_name,building:colour,addr:city,building:levels,roof:colour,roof:shape,roof:orientation,addr:street,addr:postcode,roof:material,height,unisex,townhall:type,status,internet_access,emergency,roof:height,building:height,surveillance,surveillance_1,craft,alt_name
-8.67052670713921,41.2779611146327,407491250,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67087386410887,41.2782757169636,407209976,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67066651335029,41.2782375616127,407209987,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67070296151601,41.2783665008143,407209989,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.6706806192631,41.2783077718993,407209988,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67010938943722,41.2778459206696,407491251,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.6730736330535,41.2784482421467,405891911,roof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67314879374897,41.27853847699,405891902,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67302785378749,41.2785758151557,405891904,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67316221549281,41.2786808428932,332101537,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67332377038635,41.2787744159016,332101547,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67334837977524,41.2788943072643,332101571,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67330150526024,41.2790595750574,332275469,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67291214649554,41.2785867686964,405891906,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67271361919766,41.2785806935261,331240577,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67249336519282,41.2786279952403,331240568,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67277634898999,41.2789044576064,405891918,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67246727544894,41.2789756004699,331241210,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67336262188315,41.2792343716064,332275470,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67306446195567,41.2793830464736,405891917,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67295672758669,41.2791845748643,405891916,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67251470507516,41.2790729295645,331241284,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67257351706848,41.2791650955837,331241649,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67264078746199,41.2793499915229,331241631,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67280232582664,41.2795742687727,332275409,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67256445,41.27974665,386578536,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67226189372423,41.2786675777233,331240556,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67208219834436,41.2787246159498,331240361,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67190138034253,41.2785966281142,331241795,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67216140026666,41.2790104628815,331240809,house,,,,,,,,,,,,,,,,,,,,,white,Mosteiró,2,orange,gabled,across,Rua da Costinha,,,,,,,,,,,,,,
-8.67204983065717,41.2790128523927,331240879,yes,,,,sede da JUM,,,,,,,,,,,,,,,,,white,Mosteiró,1,orange,lean_to,,Largo da Lameira,,,,,,,,,,,,,,
-8.67203309060084,41.2793681911171,331240733,greenhouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67161319375419,41.2791314000021,331240828,yes,,,,,,,,,,,,,,,,,,,,,grey,Vilar e Mosteiró,1,orange,hipped,,Largo da Lameira,4485-944,,,,,,,,,,,,,
-8.67111722442098,41.2790705001856,386578555,yes,,,,Casa da Lameira,,,,,,,,,,,,,,,,,grey,,1,orange,hipped,along,,,,,,,,,,,,,,,
-8.67133915485262,41.2795278002675,386578543,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67358346415199,41.280842053271,407213459,industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67295222120461,41.2808488316402,332276015,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.6718226,41.27984835,386578540,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.6719601,41.2800659,386578541,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67218215094037,41.2802886500149,386578550,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67189444908372,41.2804354662461,386578535,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67130817035227,41.2807762661191,332275814,stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67161506198498,41.2810986501311,332275827,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67071482503559,41.2784169663973,407209986,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67074087678348,41.2785502528759,407209985,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67083344073607,41.2786345910314,407209984,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67030854575574,41.2784154131749,407209990,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67083448883159,41.2787776733212,407209983,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67061251172955,41.2789271501591,386578544,yes,,,,,,,,,,,,,,,,,,,,,,,,,hipped,along,,,roof_tiles,,,,,,,,,,,,
-8.67050704463421,41.2794417248023,332105372,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67060585330022,41.2798290188263,331967669,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67031808245356,41.2798854,331967550,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.6701338424825,41.2804067491716,407209946,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.66970874982885,41.2801936999784,372465599,yes,,,,,,,,church,,,,,,,,,,,,,white,,,orange,pyramidal,,,,,25 m,,,,,,,,,,,
-8.66939195606067,41.2799250595573,386578553,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.66956078348288,41.2800315444129,386578562,yes,,,,,,,,,,,,,,,,,,,,,white,,,orange,hipped,,,,,,,,,,,,,,,,
-8.66929111313243,41.2802126844211,386578554,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.66928600085258,41.2802575257391,372465925,yes,,toilets,,,,,,,public,,,,,,,,,,,,,,,,,,,,,3 m,yes,,,,,,,,,,
-8.66915280197677,41.2802671002016,405898919,chapel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 m,,,,,,,,,,,
-8.66856414627147,41.2802050722225,331242107,apartments,,,,,,,,,,,,,,,,,,,,,white,,2,red,,,,,,,,,,,,,,,,,
-8.66882069297248,41.2806392167934,331242272,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.66859771234338,41.2806888367219,407216046,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.66850362154354,41.2807471467092,407216045,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.66841190931328,41.2806746626209,407216047,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67880623473483,41.2831561507767,769735983,greenhouse,,,,Horto Vilacondense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67530660936755,41.2812121184001,407213454,industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67475702444046,41.2818064777315,407213445,house,,,,,,,,,,,,,,,,,,,,,,,,,,,Travessa da Arribela,,,,,,,,,,,,,,
-8.67402707702065,41.281272949269,407213457,industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67423319512249,41.2816093815791,407213455,industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67475729879642,41.2819961946225,407213440,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.6746427838565,41.2820000544538,407213441,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67445033275783,41.2819931226432,407213443,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67433970163917,41.2819980703422,407213444,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67379722812082,41.282117418008,407213446,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67414839094935,41.2821827622325,407213447,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
