X,Y,osm_id,highway,name,ref,junction,surface,toll,oneway,service,access,layer,tunnel,bicycle,foot,bridge,route,embankment,horse,tracktype,placement,maxspeed,lanes,minspeed,turn:lanes,change:lanes,destination:lanes,alt_name,destination,crossing,footway,segregated,destination:ref:lanes,destination:ref,wikipedia,route_pref_color,wikidata,network,route_name,incline,postal_code,addr:postcode,ele,addr:city,addr:street
-8.70363771566591,41.289367372899,735343670,service,,,,asphalt,,yes,parking_aisle,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
-8.70322825,41.2890936,288722022,service,,,,asphalt,,yes,parking_aisle,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
-8.70287804997752,41.2889695500084,288722021,service,,,,asphalt,,yes,parking_aisle,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
-8.70251469998735,41.2888186499813,735343667,service,,,,asphalt,,yes,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
-8.70227527369934,41.2890678524224,132744558,service,,,,asphalt,,yes,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
-8.7024497,41.2890084,735343672,service,,,,asphalt,,yes,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
-8.70475367259774,41.2893056577712,735328380,service,,,,asphalt,,yes,,customers,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
-8.70460605,41.2894386,735328382,service,,,,asphalt,,yes,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
-8.70492548164778,41.2901834496949,735328388,motorway_link,,,,asphalt,,yes,,,,,,,,,,,,,40,1,,,,,,Área de Serviço de Vila do Conde,,,,,,,,,,,,,,,,
-8.70489165,41.29032605,735328386,motorway,,A 28,,asphalt,yes,yes,,,,,,,,,,,,,120,2,50,,no|no,,,,,,,,,,,,,,,,,,,
-8.70482122386742,41.2906737248619,735343677,motorway_link,,,,asphalt,,yes,,,,,,,,,,,,,40,1,,,,,,,,,,,,,,,,,,,,,,
-8.7053844,41.2910466,735328389,motorway,,A 28,,asphalt,yes,yes,,,,,,,,,,,,right_of:1,120,3,50,through|through|right,no|not_left|yes,||Área de Serviço,,,,,,,,,,,,,,,,,,
-8.7056570585742,41.2918059148324,735343675,motorway,,A 28,,asphalt,yes,yes,,,,,,,,,,,,right_of:1,120,3,50,||merge_to_left,,,,,,,,,,,,,,,,,,,,
-8.7040808,41.289888,132744676,service,,,,asphalt,,yes,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
-8.70323245,41.2895371,288722024,service,,,,asphalt,,yes,parking_aisle,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
-8.70339420029525,41.2895526498846,288722023,service,,,,asphalt,,yes,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
-8.70325504429231,41.289877619805,132744165,service,,,,asphalt,,yes,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
-8.70371224992122,41.289956349878,735343668,service,,,,asphalt,,yes,parking_aisle,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
-8.7079759,41.2942602,107434393,unclassified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.7115160397983,41.2951579531087,132744124,unclassified,Rua da Lavandeira,,,paved,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,
-8.7075351,41.29612615,132744319,unclassified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70675768945459,41.2961026981832,387757435,unclassified,Rua da Fonte,,,cobblestone,,no,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,
-8.70750684939882,41.2966869473089,132744460,unclassified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70740365,41.29667555,387757442,unclassified,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.7074174,41.2967371,387757443,unclassified,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70738982588296,41.296411259459,387757437,cycleway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70714344448327,41.2969245424265,135458015,service,,,,,,yes,parking_aisle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70762765000561,41.2976343000127,135457886,service,,,,,,yes,parking_aisle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.7072084,41.2972522,135457879,service,,,,,,yes,parking_aisle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70708145,41.2971458,135457838,service,,,,,,yes,parking_aisle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.707279,41.29737965,135457841,service,,,,,,yes,parking_aisle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
