X,Y,osm_id,landuse,natural
-8.67655227860744,41.2987068911654,434920221,forest,
-8.6691233309774,41.3011059418928,434920220,forest,
-8.66958422538436,41.3063445996409,456653724,forest,
-8.66049820511777,41.2978980475488,435842885,forest,
-8.6586655595562,41.2985946747534,435842884,forest,
-8.66252564484074,41.3031005436681,435842886,forest,
-8.66074011031532,41.3076901632629,435842887,forest,
-8.65229775689648,41.2791672210568,407075366,forest,
-8.65138971734584,41.2778774702845,404223413,forest,
-8.64926924375021,41.277813893791,404223414,forest,
-8.64714737646374,41.2761245115026,407537278,forest,
-8.6481425223848,41.2801978420615,404223412,forest,
-8.65219067065996,41.2858485363056,407317660,forest,
-8.65041626469713,41.2843449741086,407075367,forest,
-8.65071155006003,41.2856958253284,407317659,forest,
-8.64693072266997,41.2818429968701,407317661,forest,
-8.6515647901666,41.288500500799,428981034,forest,
-8.65328288739165,41.2960073723997,435841782,forest,
-8.6496908866147,41.3005507115882,428981027,forest,
-8.65301987454217,41.3056151845547,435842888,forest,
-8.71229965574778,41.3191879953381,435825823,forest,
-8.70229857216851,41.3185358767568,350968937,forest,
-8.71142563427567,41.3197644337805,435825824,forest,
-8.70548333140911,41.3236014815297,350968830,forest,
-8.69709832931783,41.309143900093,350968920,forest,
-8.69355974783631,41.3114807093789,350968939,forest,
-8.69929192049769,41.31652205,350968911,forest,
-8.69931148288754,41.3192629023415,350968856,forest,
-8.69387671357743,41.314606143748,350968942,forest,
-8.68349825990583,41.3123810011291,350968842,forest,
-8.68236178357551,41.3141656592169,350968861,forest,
-8.68985107374993,41.3145617973593,350968843,forest,
-8.68598323190762,41.3152655747848,350968862,forest,
-8.68346521527335,41.3164228502598,350968850,forest,
-8.69325822910345,41.3249664555413,350968935,forest,
-8.68353673668469,41.3197297118242,350968915,forest,
-8.67759349565902,41.3099615762189,350968922,forest,
-8.67745662139905,41.3144421373072,350968885,forest,
-8.67839252523118,41.3177446423714,350968853,forest,
-8.67438965883154,41.3218757869921,642687391,forest,
-8.65750213888171,41.3223790911448,436115492,forest,
-8.66090900478727,41.3232809857518,436115487,forest,
-8.66012672770275,41.3236468866439,436115489,forest,
-8.65831247369849,41.3245853713334,436115491,forest,
-8.65529944519228,41.3151938642258,-10245683,forest,
-8.646112762276,41.317396787273,435842891,forest,
